flag_date,ticker,contract,kind,type,strike,expiry,dte,dte_bucket,moneyness,moneyness_bucket,vol,oi,prem_last,prem_mid,close,quality_flags,tags
2026-07-22,AAPL,AAPL260722C00280000,unusual_volume,C,280.0,2026-07-22,0,0-7,-0.141,ITM_5-15,383,74,1693625,1790525,325.89,LAST_OUTSIDE_QUOTE,NEAR_EXPIRY|WEEKLY_EXPIRY|DEEP_ITM|PROBABLE_MULTI_LEG(13)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260722C00282500,unusual_volume,C,282.5,2026-07-22,0,0-7,-0.133,ITM_5-15,661,63,2758353,2923272,325.89,LAST_OUTSIDE_QUOTE,NEAR_EXPIRY|WEEKLY_EXPIRY|DEEP_ITM|PROBABLE_MULTI_LEG(12)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260722C00285000,unusual_volume,C,285.0,2026-07-22,0,0-7,-0.125,ITM_5-15,418,32,1641904,1746195,325.89,LAST_OUTSIDE_QUOTE,NEAR_EXPIRY|WEEKLY_EXPIRY|DEEP_ITM|PROBABLE_MULTI_LEG(8)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260722C00290000,unusual_volume,C,290.0,2026-07-22,0,0-7,-0.11,ITM_5-15,344,127,1202280,1251300,325.89,,NEAR_EXPIRY|WEEKLY_EXPIRY|DEEP_ITM|PROBABLE_MULTI_LEG(9)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260722C00292500,unusual_volume,C,292.5,2026-07-22,0,0-7,-0.102,ITM_5-15,410,37,1307490,1405275,325.89,LAST_OUTSIDE_QUOTE,NEAR_EXPIRY|WEEKLY_EXPIRY|DEEP_ITM|PROBABLE_MULTI_LEG(8)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260722C00295000,unusual_volume,C,295.0,2026-07-22,0,0-7,-0.095,ITM_5-15,340,31,995860,1082050,325.89,LAST_OUTSIDE_QUOTE,NEAR_EXPIRY|WEEKLY_EXPIRY|DEEP_ITM|PROBABLE_MULTI_LEG(10)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260722C00310000,unusual_volume,C,310.0,2026-07-22,0,0-7,-0.049,ATM,1186,123,1749350,1870914,325.89,,NEAR_EXPIRY|WEEKLY_EXPIRY|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260722C00322500,unusual_volume,C,322.5,2026-07-22,0,0-7,-0.01,ATM,15689,1594,6746270,5561750,325.89,WIDE_MARKET|LAST_OUTSIDE_QUOTE,NEAR_EXPIRY|WEEKLY_EXPIRY|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260722C00325000,unusual_volume,C,325.0,2026-07-22,0,0-7,-0.003,ATM,159821,6890,16141921,17340578,325.89,WIDE_MARKET,NEAR_EXPIRY|WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(2)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260722P00325000,unusual_volume,P,325.0,2026-07-22,0,0-7,0.003,ATM,111072,6793,666432,666432,325.89,WIDE_MARKET,NEAR_EXPIRY|WEEKLY_EXPIRY|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260724C00325000,unusual_volume,C,325.0,2026-07-24,2,0-7,-0.003,ATM,27219,5250,10043811,10139077,325.89,,NEAR_EXPIRY|WEEKLY_EXPIRY|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260724C00327500,unusual_volume,C,327.5,2026-07-24,2,0-7,0.005,ATM,25503,6002,6146223,6044211,325.89,,NEAR_EXPIRY|WEEKLY_EXPIRY|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260724C00330000,unusual_volume,C,330.0,2026-07-24,2,0-7,0.013,ATM,44372,17427,6478312,6611428,325.89,,NEAR_EXPIRY|WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(2)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260724P00317500,unusual_volume,P,317.5,2026-07-24,2,0-7,0.026,ATM,12306,3737,738360,787583,325.89,,NEAR_EXPIRY|WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(3)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260724P00322500,unusual_volume,P,322.5,2026-07-24,2,0-7,0.01,ATM,11136,3088,1737216,1809600,325.89,,NEAR_EXPIRY|WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(3)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260727C00322500,unusual_volume,C,322.5,2026-07-27,5,0-7,-0.01,ATM,633,69,405120,356062,325.89,LAST_OUTSIDE_QUOTE,WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(11)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260727C00325000,unusual_volume,C,325.0,2026-07-27,5,0-7,-0.003,ATM,3719,649,1710739,1561980,325.89,LAST_OUTSIDE_QUOTE,WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(3)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260727C00327500,unusual_volume,C,327.5,2026-07-27,5,0-7,0.005,ATM,2829,677,891135,871332,325.89,,WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(2)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260727C00335000,unusual_volume,C,335.0,2026-07-27,5,0-7,0.028,ATM,4511,1733,360880,399223,325.89,WIDE_MARKET,WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(3)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260729C00325000,unusual_volume,C,325.0,2026-07-29,7,0-7,-0.003,ATM,1412,420,776600,751890,325.89,,WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(4)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260731C00287500,unusual_volume,C,287.5,2026-07-31,9,8-30,-0.118,ITM_5-15,318,50,1197270,1259280,325.89,LAST_OUTSIDE_QUOTE,WEEKLY_EXPIRY|DEEP_ITM|PROBABLE_MULTI_LEG(11)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL260731C00292500,unusual_volume,C,292.5,2026-07-31,9,8-30,-0.102,ITM_5-15,256,34,839679,889600,325.89,LAST_OUTSIDE_QUOTE,WEEKLY_EXPIRY|DEEP_ITM|PROBABLE_MULTI_LEG(19)|EARNINGS_DATE_UNCHECKED
2026-07-22,AAPL,AAPL261016C00390000,unusual_volume,C,390.0,2026-10-16,86,31-90,0.197,OTM_15+,11231,1450,2324817,2324817,325.89,,MONTHLY_EXPIRY|PROBABLE_MULTI_LEG(3)|EARNINGS_DATE_UNCHECKED
2026-07-22,GOOGL,GOOGL260724C00340000,unusual_volume,C,340.0,2026-07-24,2,0-7,-0.006,ATM,3205,884,3557550,3685750,342.09,,NEAR_EXPIRY|WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(3)|EARNINGS_DATE_UNCHECKED
2026-07-22,GOOGL,GOOGL260724C00342500,unusual_volume,C,342.5,2026-07-24,2,0-7,0.001,ATM,1061,341,1082220,1058347,342.09,,NEAR_EXPIRY|WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(19)|EARNINGS_DATE_UNCHECKED
2026-07-22,GOOGL,GOOGL260724C00345000,unusual_volume,C,345.0,2026-07-24,2,0-7,0.009,ATM,3785,956,3383790,3330800,342.09,,NEAR_EXPIRY|WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(4)|EARNINGS_DATE_UNCHECKED
2026-07-22,GOOGL,GOOGL260724C00347500,unusual_volume,C,347.5,2026-07-24,2,0-7,0.016,ATM,9057,474,6973890,6996532,342.09,,NEAR_EXPIRY|WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(2)|EARNINGS_DATE_UNCHECKED
2026-07-22,GOOGL,GOOGL260724C00365000,unusual_volume,C,365.0,2026-07-24,2,0-7,0.067,OTM_5-15,9489,3574,2562030,2547796,342.09,,NEAR_EXPIRY|WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(3)|EARNINGS_DATE_UNCHECKED
2026-07-22,GOOGL,GOOGL260724C00385000,unusual_volume,C,385.0,2026-07-24,2,0-7,0.125,OTM_5-15,6776,1647,521752,511588,342.09,,NEAR_EXPIRY|WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(2)|EARNINGS_DATE_UNCHECKED
2026-07-22,GOOGL,GOOGL260724P00310000,unusual_volume,P,310.0,2026-07-24,2,0-7,0.094,OTM_5-15,5731,1833,498597,484269,342.09,,NEAR_EXPIRY|WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(2)|EARNINGS_DATE_UNCHECKED
2026-07-22,GOOGL,GOOGL260724P00320000,unusual_volume,P,320.0,2026-07-24,2,0-7,0.065,OTM_5-15,9886,2986,2105718,2135376,342.09,,NEAR_EXPIRY|WEEKLY_EXPIRY|PROBABLE_MULTI_LEG(3)|EARNINGS_DATE_UNCHECKED
